"rules","support","confidence","coverage","lift","count"
"{의자에앉아등굽혔다펴기} => {벽에서팔굽혀펴기}",0.00823841821187819,0.890051101884382,0.0092561182098827,25.3437546499382,11147
"{다리뻗어점프하기} => {순간반응콘찍기}",0.0085628701357155,0.851723884437256,0.0100535752163074,35.8486282876074,11586
"{앉아서뒤로당기기} => {앉아서당겨내리기}",0.0129389062200907,0.833269871489767,0.0155278699768154,19.4967253387477,17507
"{넙다리앞쪽스트레칭} => {넙다리안쪽스트레칭}",0.0186467472401262,0.806921034956983,0.0231085154957204,25.2721011358174,25230
"{앉아서다리굽히기} => {앉아서다리펴기}",0.0158308888578479,0.862874637447631,0.0183466846408598,22.45174883316,21420
"{뒤꿈치높이들어뛰기} => {순간반응콘찍기}",0.0127733544411851,0.894982134534721,0.0142721892966341,37.6693461944921,17283
"{뒤꿈치높이들어뛰기} => {맨몸운동루틴프로그램}",0.0117866954017254,0.825850551499146,0.0142721892966341,9.17993094670295,15948
"{배스트레칭} => {허리스트레칭}",0.0246383913097141,0.810153345160271,0.0304120095990469,21.3326611622545,33337
"{고정식트레드밀에서걷기} => {고정식자전거타기}",0.0190746690257795,0.829604628736741,0.0229924814363982,29.3993706952902,25809
"{앉아서밀기} => {앉아서당겨내리기}",0.0213842641556009,0.807580663168472,0.0264794157795974,18.8956530379879,28934
"{앞굽이앉았다일어서기} => {앉았다일어서기}",0.0247499909463871,0.829259837060149,0.0298458816408251,4.01838972220895,33488
"{옆으로누워버티기} => {엎드려버티기}",0.0366630673936164,0.868363470863165,0.0422208771140186,6.56097868335311,49607
"{자전거타기} => {줄넘기운동}",0.0439990805963707,0.823040659173545,0.0534591822481192,11.8851628309614,59533
"{자전거타기} => {조깅}",0.0465496126901351,0.870750556454177,0.0534591822481193,10.0789596656876,62984
"{트레드밀에서걷기} => {실내자전거타기}",0.0719780703018585,0.815586503755935,0.0882531404950737,6.85959281483317,97390
"{한발앞으로내밀고앉았다일어서기} => {앉았다일어서기}",0.0663389628328866,0.824598311484295,0.0804500347732643,3.99580111291342,89760
"{벽에서팔굽혀펴기,엎드려양팔및다리들어올리기} => {몸통들어올리기}",0.00811277623681591,0.815103586544887,0.00995306163625761,9.98665932791367,10977
"{몸통들어올리기,바로서서상체숙이기} => {팔굽혀펴기}",0.00833228015795414,0.809681126113186,0.0102908168280427,5.34576578721441,11274
"{앉아서뒤로당기기,앉아서밀기} => {앉아서당겨내리기}",0.00873063912594573,0.977169327487799,0.00893462256781156,22.8636635492615,11813
"{몸통들어올리기,물통으로양팔들어올리기} => {벽에서팔굽혀펴기}",0.00832267224221408,0.865564950038432,0.00961530644447253,24.6465238691538,11261
"{넙다리앞쪽스트레칭,배스트레칭} => {넙다리안쪽스트레칭}",0.00967591022067904,0.870652390769435,0.0111134022294799,27.2681146239289,13092
"{넙다리안쪽스트레칭,배스트레칭} => {넙다리앞쪽스트레칭}",0.00967591022067904,0.847433490840831,0.0114178992513956,36.6719139097348,13092
"{넙다리앞쪽스트레칭,배스트레칭} => {허리스트레칭}",0.0106004873430492,0.95384717696349,0.0111134022294799,25.1163545127494,14343
"{넙다리앞쪽스트레칭,배스트레칭} => {넙다리뒤쪽스트레칭}",0.0103706364357293,0.93316486001197,0.0111134022294799,23.2432466957044,14032
"{넙다리앞쪽스트레칭,옆구리스트레칭} => {배스트레칭}",0.00864195067296059,0.869432671574095,0.00993975836830984,28.5884649859292,11693
"{넙다리앞쪽스트레칭,허리스트레칭} => {넙다리안쪽스트레칭}",0.0120527607606809,0.874001822176966,0.0137903153687481,27.3730160524597,16308
"{넙다리안쪽스트레칭,허리스트레칭} => {넙다리앞쪽스트레칭}",0.0120527607606809,0.824010914051842,0.0146269431085746,35.6583231927834,16308
"{넙다리안쪽스트레칭,넙다리앞쪽스트레칭} => {넙다리뒤쪽스트레칭}",0.0151154686704344,0.810622275069362,0.0186467472401262,20.1909590940112,20452
"{넙다리뒤쪽스트레칭,넙다리앞쪽스트레칭} => {넙다리안쪽스트레칭}",0.0151154686704344,0.884869986587635,0.01708213511538,27.7133979959813,20452
"{넙다리앞쪽스트레칭,옆구리스트레칭} => {넙다리안쪽스트레칭}",0.00869516374475168,0.874786229459439,0.00993975836830984,27.3975830414408,11765
"{넙다리안쪽스트레칭,옆구리스트레칭} => {넙다리앞쪽스트레칭}",0.00869516374475168,0.814186851211073,0.0106795678802942,35.2331958044582,11765
"{넙다리앞쪽스트레칭,허리스트레칭} => {넙다리뒤쪽스트레칭}",0.0117157446393373,0.849563213462672,0.0137903153687481,21.1608990011208,15852
"{넙다리앞쪽스트레칭,옆구리스트레칭} => {허리스트레칭}",0.00926424798473967,0.932039556844375,0.00993975836830984,24.5421242469172,12535
"{넙다리앞쪽스트레칭,옆구리스트레칭} => {넙다리뒤쪽스트레칭}",0.00951553193486424,0.957320246858502,0.00993975836830984,23.8449084594114,12875
"{누워서다리좌우로움직이기,윗몸올리기} => {엎드려버티기}",0.00837145089135591,0.880861653316743,0.00950370680779956,6.65540954256127,11327
"{앉아서다리굽히기,앉아서다리밀기} => {앉아서다리펴기}",0.0102376037562516,0.944948495804625,0.0108340336025767,24.5872869213466,13852
"{엎드려팔다리교차올리기,윗몸일으키기} => {전완대고버티기}",0.00904474406360145,0.807788778877888,0.0111969171893742,16.4503757476484,12238
"{누워서팔다리동시에들어올리기,윗몸올리기} => {엎드려버티기}",0.00934111131066013,0.812275064267352,0.0114999360704068,6.13719895008937,12639
